Chemical_ID,Chemical_Name,PharmGKB_ID,RS_ID
PA451221,raloxifene,PA166134802,rs10030044
PA451581,tamoxifen,PA166134802,rs10030044
PA452229,antidepressants,PA166134666,rs10036156
PA164713257,Selective serotonin reuptake inhibitors,PA166134666,rs10036156
PA451866,venlafaxine,PA166134666,rs10036156
PA450196,letrozole,PA166135983,rs10046
PA133950441,hmg coa reductase inhibitors,PA166135984,rs10046
PA450196,letrozole,PA166135984,rs10046
PA133950441,hmg coa reductase inhibitors,PA166135988,rs1008805
PA450196,letrozole,PA166135988,rs1008805
PA448432,anastrozole,PA166163646,rs1008805
PA448073,ethanol,PA166136519,rs1001179
PA162565877,amisulpride,PA166135098,rs10042486
PA452233,antipsychotics,PA166135098,rs10042486
PA450688,olanzapine,PA166135098,rs10042486
PA451201,quetiapine,PA166135098,rs10042486
PA451257,risperidone,PA166135098,rs10042486
PA449690,fluvoxamine,PA166134176,rs10042486
PA164752812,milnacipran,PA166134176,rs10042486
PA450801,paroxetine,PA166134176,rs10042486
PA449015,citalopram,PA166136325,rs1006737
PA450626,nicotine,PA166136326,rs10121600
PA450196,letrozole,PA166136495,rs10140457
PA451283,rosiglitazone,PA166134225,rs10192566
PA448082,alendronate,PA166135894,rs10161126
PA450428,methotrexate,PA166135564,rs10197559
PA10004,adalimumab,PA166136375,rs10210302
PA448691,busulfan,PA166161889,rs1021737
PA449165,cyclophosphamide,PA166161889,rs1021737
PA451846,valproic acid,PA166152734,rs1019385
PA450480,metoprolol,PA166134447,rs1024323
PA448499,atenolol,PA166136327,rs1024323
PA451868,verapamil,PA166136327,rs1024323
PA448499,atenolol,PA166135599,rs10267099
PA449061,clozapine,PA166135097,rs10248420
PA448385,amitriptyline,PA166135175,rs10248420
PA449015,citalopram,PA166135175,rs10248420
PA450801,paroxetine,PA166135175,rs10248420
PA451866,venlafaxine,PA166135175,rs10248420
PA449014,cisplatin,PA166134734,rs10276036
PA449165,cyclophosphamide,PA166134734,rs10276036
PA449412,doxorubicin,PA166134734,rs10276036
PA450428,methotrexate,PA166134734,rs10276036
PA451879,vincristine,PA166134734,rs10276036
PA451578,tacrolimus,PA166135337,rs10264272
PA448497,aspirin,PA166135833,rs10279545
PA165983754,pitrakinra,PA166135096,rs1029489
PA448385,amitriptyline,PA166135176,rs10280101
PA449015,citalopram,PA166135176,rs10280101
PA450801,paroxetine,PA166135176,rs10280101
PA451866,venlafaxine,PA166135176,rs10280101
PA165958364,liraglutide,PA166135930,rs10305420
PA164712462,"Antiinflammatory agents, non-steroids",PA166135753,rs10306135
PA448497,aspirin,PA166134822,rs10306114
PA449053,clopidogrel,PA166134822,rs10306114
PA164774763,latanoprost,PA166135692,rs10306114
PA448497,aspirin,PA166134811,rs10306114
PA448497,aspirin,PA166136191,rs1042136
PA448497,aspirin,PA166136192,rs1042151
PA164784021,ethambutol,PA166152861,rs1041983
PA450112,isoniazid,PA166152861,rs1041983
PA451182,pyrazinamide,PA166152861,rs1041983
PA451250,rifampin,PA166152861,rs1041983
PA450688,olanzapine,PA166135266,rs10423928
PA451906,warfarin,PA166135754,rs1042580
PA450705,ondansetron,PA166134964,rs1042173
PA449167,cyclosporine,PA166134846,rs1042597
PA450566,mycophenolate mofetil,PA166134846,rs1042597
PA451365,sirolimus,PA166134846,rs1042597
PA451578,tacrolimus,PA166134846,rs1042597
PA451221,raloxifene,PA166160314,rs1042597
PA10251,atazanavir,PA166136090,rs1042640
PA451260,ritonavir,PA166136090,rs1042640
PA448015,acetaminophen,PA166135094,rs1042640
PA448015,acetaminophen,PA166135095,rs1042640
PA130620651,anthracyclines and related substances,PA166135267,rs10426377
PA449599,fentanyl,PA166160487,rs1042718
PA451141,propofol,PA166160487,rs1042718
PA451232,remifentanil,PA166160487,rs1042718
PA451341,sevoflurane,PA166160487,rs1042718
PA452621,antineoplastic agents,PA166134349,rs1042522
PA449014,cisplatin,PA166134349,rs1042522
PA449165,cyclophosphamide,PA166134349,rs1042522
PA128406956,fluorouracil,PA166134349,rs1042522
PA450761,paclitaxel,PA166134349,rs1042522
PA449027,cladribine,PA166135384,rs1042919
PA449177,cytarabine,PA166135384,rs1042919
PA449748,gemcitabine,PA166135657,rs1042927
PA164713176,Platinum compounds,PA166135657,rs1042927
PA448785,carbamazepine,PA166135269,rs1043620
PA449748,gemcitabine,PA166135231,rs1042858
PA450626,nicotine,PA166136332,rs1044397
PA450403,methamphetamine,PA166136328,rs1045280
PA448817,carvedilol,PA166134042,rs1042714
PA449456,enalapril,PA166135092,rs1042714
PA451616,terbutaline,PA166152668,rs1042714
PA448499,atenolol,PA166152669,rs1042714
PA450480,metoprolol,PA166152669,rs1042714
PA449748,gemcitabine,PA166152749,rs1044457
PA133950441,hmg coa reductase inhibitors,PA166136204,rs10455872
PA449061,clozapine,PA166135729,rs10465180
PA448771,capecitabine,PA166135683,rs1047840
PA128406956,fluorouracil,PA166135683,rs1047840
PA450626,nicotine,PA166134262,rs1044396
PA164781343,varenicline,PA166135966,rs1044396
PA450631,nifedipine,PA166152672,rs1048101
PA448771,capecitabine,PA166135090,rs1048943
PA449383,docetaxel,PA166135090,rs1048943
PA450401,methadone,PA166161948,rs10485058
PA448499,atenolol,PA166135597,rs10157410
PA451906,warfarin,PA166134611,rs104894539
PA451257,risperidone,PA166135268,rs1042713
PA165958382,methacholine,PA166135363,rs1042713
PA10832,corticosteroids,PA166135386,rs1042713
PA10832,corticosteroids,PA166135387,rs1042713
PA451300,salmeterol,PA166135387,rs1042713
PA448561,benazepril,PA166135093,rs1042713
PA448068,salbutamol,PA166134226,rs1042713
PA451300,salmeterol,PA166134226,rs1042713
PA450121,isoproterenol,PA166135730,rs1042713
PA451145,propranolol,PA166152623,rs1042713
PA164712308,"Ace Inhibitors, Plain",PA166152667,rs1042713
PA164712372,Angiotensin II Antagonists,PA166152667,rs1042713
PA164712535,Beta Blocking Agents,PA166152667,rs1042713
PA449319,digoxin,PA166152667,rs1042713
PA151249535,diuretics,PA166152667,rs1042713
PA451483,spironolactone,PA166152667,rs1042713
PA449466,ephedrine,PA166135900,rs1042713
PA450935,phenylephrine,PA166135900,rs1042713
PA164769056,tiotropium,PA166136155,rs1042713
PA448497,aspirin,PA166135688,rs1047626
PA451906,warfarin,PA166134612,rs104894540
PA452233,antipsychotics,PA166136516,rs10490162
PA130232992,bevacizumab,PA166136022,rs10490924
PA451906,warfarin,PA166134613,rs104894541
PA450037,interferon beta-1a,PA166152636,rs10494227
PA450039,interferon beta-1b,PA166152636,rs10494227
PA449748,gemcitabine,PA166135521,rs1048977
PA448771,capecitabine,PA166163765,rs1048977
PA166122986,radiotherapy,PA166135533,rs10497203
PA164713366,Tumor necrosis factor alpha (TNF-alpha) inhibitors,PA166136251,rs10499563
PA449390,dolasetron,PA166134949,rs10494366
PA449809,granisetron,PA166134949,rs10494366
PA451868,verapamil,PA166134183,rs10494366
PA164712688,Dihydropyridine derivatives,PA166159191,rs10494366
PA451234,repaglinide,PA166159203,rs10494366
PA452233,antipsychotics,PA166135409,rs10501087
PA10804,imatinib,PA166135374,rs1050152
PA451906,warfarin,PA166134614,rs104894542
PA451581,tamoxifen,PA166158998,rs10509373
