Chemicals,Chemical_Count,PharmGKB_ID,RS_ID,Chromosome,Postion,Gene,Annotation_ID,Level_of_Evidence,Types,Phenotypes,OMB_Races,Unknown_Race,Mixed_Population
PA451221:raloxifene;PA451581:tamoxifen,2,PA166134802,rs10030044,chr4,157011922,,1043858881,3,efficacy,PA443560:Breast Neoplasms,,,1
PA452229:antidepressants;PA164713257:Selective serotonin reuptake inhibitors;PA451866:venlafaxine,3,PA166134666,rs10036156,chr5,170215637,GABRP,982030877,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA450196:letrozole,1,PA166135983,rs10046,chr15,51502986,CYP19A1,1447681817,3,other,PA443560:Breast Neoplasms; PA166048848:Menopause,,1,
PA133950441:hmg coa reductase inhibitors;PA450196:letrozole,2,PA166135984,rs10046,chr15,51502986,CYP19A1,1447681824,3,other,PA443560:Breast Neoplasms; PA166048848:Menopause,,1,
PA133950441:hmg coa reductase inhibitors;PA450196:letrozole,2,PA166135988,rs1008805,chr15,51549599,CYP19A1,1448615177,3,other,PA443560:Breast Neoplasms; PA166048848:Menopause,,1,
PA448432:anastrozole,1,PA166163646,rs1008805,chr15,51549599,CYP19A1,1448615172,3,toxicity,PA443560:Breast Neoplasms,white,,
PA448073:ethanol,1,PA166136519,rs1001179,chr11,34460231,CAT,1447946093,3,other,PA443309:Alcoholism,,1,
PA162565877:amisulpride;PA452233:antipsychotics;PA450688:olanzapine;PA451201:quetiapine;PA451257:risperidone,5,PA166135098,rs10042486,chr5,63261329,HTR1A,1183630574,3,efficacy,PA447216:Schizophrenia,asian,,
PA449690:fluvoxamine;PA164752812:milnacipran;PA450801:paroxetine,3,PA166134176,rs10042486,chr5,63261329,HTR1A,981418886,3,efficacy,"PA447321:Depressive Disorder, Major",asian,,
PA449015:citalopram,1,PA166136325,rs1006737,chr12,2345295,CACNA1C,1444704768,4,toxicity,"PA447321:Depressive Disorder, Major",white,,
PA450626:nicotine,1,PA166136326,rs10121600,chr9,104378003,GRIN3A,1444704780,3,other,PA445876:Tobacco Use Disorder,,,1
PA450196:letrozole,1,PA166136495,rs10140457,chr14,64716693,ESR2,1448106497,3,toxicity,PA443560:Breast Neoplasms,,,1
PA451283:rosiglitazone,1,PA166134225,rs10192566,chr2,11890428,LPIN1,981418952,3,efficacy,"PA443890:Diabetes Mellitus, Type 2",asian,,
PA448082:alendronate,1,PA166135894,rs10161126,chr12,110042348,MVK,1448106243,3,efficacy,PA443532:Bone Diseases,asian,,
